source,file,language,translated,fuzzy,untranslated,total,pct_translated,pct_fuzzy,pct_untranslated
HAPI FHIR Core libraries,validator-messages,fr,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,nl,962,0,157,1119,86.0,0.0,14.0
HAPI FHIR Core libraries,rendering-phrases-zh,TW,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,pt,90,929,100,1119,8.0,83.0,8.9
HAPI FHIR Core libraries,rendering-phrases,zh,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,de,5,0,1114,1119,0.4,0.0,99.6
HAPI FHIR Core libraries,validator-messages,nl,1232,94,144,1470,83.8,6.4,9.8
HAPI FHIR Core libraries,rendering-phrases,mn,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,lt,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,fr,1103,0,16,1119,98.6,0.0,1.4
HAPI FHIR Core libraries,rendering-phrases,ko,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,en,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages-zh,TW,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,en,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,uz,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,de,822,0,648,1470,55.9,0.0,44.1
HAPI FHIR Core libraries,rendering-phrases,lt,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,ru,1079,0,40,1119,96.4,0.0,3.6
HAPI FHIR Core libraries,validator-messages,ru,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,ar,0,1429,41,1470,0.0,97.2,2.8
HAPI FHIR Core libraries,validator-messages,mn,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,ar,0,1098,21,1119,0.0,98.1,1.9
HAPI FHIR Core libraries,rendering-phrases,pt_BR,0,0,1106,1106,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,zh,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,uz,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,tr,0,0,1119,1119,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,ja,867,0,603,1470,59.0,0.0,41.0
HAPI FHIR Core libraries,validator-messages,ko,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,es,5,0,1114,1119,0.4,0.0,99.6
HAPI FHIR Core libraries,validator-messages,tr,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,validator-messages,es,0,0,1470,1470,0.0,0.0,100.0
HAPI FHIR Core libraries,rendering-phrases,ja,20,0,1099,1119,1.8,0.0,98.2
HAPI FHIR Core libraries,validator-messages,pt,14,1287,169,1470,1.0,87.6,11.5
